id,date,crypto_name,symbol,open_price,high_price,low_price,close_price,volume,market_cap,transactions,dominance,sentiment_score,news_mentions
1,2023-01-01,Bitcoin,BTC,4712.66,5035.64,4491.68,4818.57,36883004391,84876258267.99379,236915,41.68,0.53,91
2,2023-01-01,Ethereum,ETH,18624.12,18960.69,17627.97,17895.65,273704845,452304894.9171857,425945,9.94,0.09,4572
3,2023-01-01,Cardano,ADA,39595.21,41211.98,38146.61,40534.08,8494341831,18566720466.087666,110831,14.69,0.96,506
4,2023-01-01,Solana,SOL,21741.99,22543.16,20377.13,20798.65,12931171767,19792108589.513744,233651,42.91,0.25,1585
5,2023-01-01,Binance Coin,BNB,31112.1,32440.75,30504.11,30825.42,21205489764,42177325062.02991,116896,6.65,0.77,1870
6,2023-01-02,Bitcoin,BTC,4109.79,4269.82,4053.69,4144.35,10380196388,22860775967.07291,42436,47.43,0.26,4181
7,2023-01-02,Ethereum,ETH,6507.77,6636.38,6226.5,6555.06,31582563751,55518440884.3706,86974,21.7,0.36,3458
8,2023-01-02,Cardano,ADA,2469.65,2569.38,2392.78,2423.88,33887747963,70392497020.62105,15322,32.0,0.74,2216
9,2023-01-02,Solana,SOL,30501.49,31612.74,30105.96,31131.7,19000463518,32538069825.44758,54481,4.52,0.13,2578
10,2023-01-02,Binance Coin,BNB,48518.29,51555.29,47895.6,50520.3,23179003541,42684311629.627785,70601,43.92,0.64,139
11,2023-01-03,Bitcoin,BTC,26366.9,27575.54,25161.29,27265.24,18973320794,33339647396.118874,62787,0.71,0.97,1273
12,2023-01-03,Ethereum,ETH,10482.82,11023.72,10253.71,10709.32,43547669563,66807738389.16536,160592,31.13,-0.42,337
13,2023-01-03,Cardano,ADA,41339.6,41875.2,38396.67,40360.34,18348781957,38630830187.56552,112305,7.4,0.04,910
14,2023-01-03,Solana,SOL,38932.63,40058.42,36704.41,38208.86,30821043343,55130058678.375175,80508,42.48,-0.67,3018
15,2023-01-03,Binance Coin,BNB,22458.33,23884.99,21352.32,22965.93,21130013217,35008910728.782585,135657,34.18,-0.07,1515
16,2023-01-04,Bitcoin,BTC,21155.13,21823.31,19889.33,20541.13,19895158157,41170959548.35032,186295,10.45,0.17,366
17,2023-01-04,Ethereum,ETH,10151.95,10458.86,9667.6,10196.6,58713683,131836017.65523534,247648,43.31,0.57,1871
18,2023-01-04,Cardano,ADA,14238.08,14557.77,13747.33,14176.44,40964509719,91415220751.41101,107815,15.75,0.73,225
19,2023-01-04,Solana,SOL,16788.27,17592.08,16502.15,16812.92,35285984791,58373948101.885124,180428,19.59,0.41,4139
20,2023-01-04,Binance Coin,BNB,26120.9,26715.03,24592.45,24910.33,33283982995,69529782865.8461,73779,44.91,-0.11,2810
21,2023-01-05,Bitcoin,BTC,23602.57,24346.68,22407.38,23404.74,21733153708,43314500917.79542,351183,42.62,0.35,396
22,2023-01-05,Ethereum,ETH,14366.67,15069.24,13652.7,13812.37,37351579076,70067811441.30392,405859,27.49,0.6,2365
23,2023-01-05,Cardano,ADA,49160.05,52846.5,47262.71,51294.38,36920103343,88234795679.52248,56098,18.55,0.38,4669
24,2023-01-05,Solana,SOL,42636.41,45663.43,41806.96,44661.75,20954102710,43666787607.40111,188752,21.89,0.46,3113
25,2023-01-05,Binance Coin,BNB,9245.75,9519.26,9027.67,9182.35,39771841210,86395874092.87885,440330,20.18,-0.69,1011
26,2023-01-06,Bitcoin,BTC,20803.73,22340.54,20326.4,21836.37,7479064334,16861995849.504318,65619,13.59,0.96,1114
27,2023-01-06,Ethereum,ETH,27179.93,28770.9,26700.29,28352.29,29191597358,57743546099.24742,60903,39.7,0.42,3788
28,2023-01-06,Cardano,ADA,26023.1,27784.72,25228.4,26919.18,47432213687,113320194545.99236,91451,49.3,-0.95,4899
29,2023-01-06,Solana,SOL,43181.0,44843.79,40465.69,41861.99,38681974184,58075412784.23373,182097,31.72,0.23,4073
30,2023-01-06,Binance Coin,BNB,35042.23,35960.58,34246.46,34652.69,34572492770,73478501697.64276,340813,2.95,0.74,883
31,2023-01-07,Bitcoin,BTC,17198.71,18214.91,16478.96,17687.31,17080697306,36379451998.09177,179553,40.63,-0.79,4530
32,2023-01-07,Ethereum,ETH,15828.61,16301.69,14868.11,15620.75,45625593950,102032185620.32854,58918,12.45,-0.78,1864
33,2023-01-07,Cardano,ADA,23499.73,23849.39,21946.93,22368.59,6321458246,14478018694.999397,435383,19.58,-0.04,1606
34,2023-01-07,Solana,SOL,1109.29,1157.53,1036.72,1075.77,29815494707,55398138526.50636,405279,17.17,-0.95,2165
35,2023-01-07,Binance Coin,BNB,19157.64,20146.53,18452.83,19446.55,28238866790,59411742697.85961,97602,39.39,0.0,4685
36,2023-01-08,Bitcoin,BTC,34598.82,37539.58,33161.39,36193.73,4507284291,9758292546.738813,183183,48.55,0.79,527
37,2023-01-08,Ethereum,ETH,24801.96,26002.67,23879.32,24345.51,29224645207,54741472394.80986,402641,30.08,-0.85,3649
38,2023-01-08,Cardano,ADA,16286.47,16759.19,15319.81,15508.9,42714800418,99880769995.73213,376569,25.52,-0.78,357
39,2023-01-08,Solana,SOL,28333.58,28748.72,27312.14,27695.65,30903030857,53835492520.58641,324800,11.41,0.83,2152
40,2023-01-08,Binance Coin,BNB,37702.26,38759.31,34504.44,36284.6,14466291164,22389720005.334938,163849,9.03,-0.08,4097
41,2023-01-09,Bitcoin,BTC,9611.92,10061.57,9207.9,9478.6,36732231902,90029819501.89859,86305,41.94,-0.75,263
42,2023-01-09,Ethereum,ETH,14017.85,14828.49,13855.44,14563.55,34274346185,59877885105.302284,414295,32.42,-0.29,4652
43,2023-01-09,Cardano,ADA,17176.61,17982.78,16701.64,17768.85,13819357249,22448195964.732635,95325,7.18,0.04,4958
44,2023-01-09,Solana,SOL,37775.21,39352.39,35557.31,37327.06,46056132169,111969382704.30605,344920,27.0,0.41,3326
45,2023-01-09,Binance Coin,BNB,25392.23,26204.38,24295.31,25069.08,24891801180,53213377253.18828,167788,47.88,0.63,3325
46,2023-01-10,Bitcoin,BTC,22666.4,23762.9,21219.3,22072.34,4224162113,10466826635.469957,183482,49.69,0.99,290
47,2023-01-10,Ethereum,ETH,42299.24,44988.6,40234.42,43566.5,23986647046,44640334926.42804,466553,46.06,-0.27,1504
48,2023-01-10,Cardano,ADA,22474.47,23647.66,21911.51,22552.34,31008707526,47240165639.81137,112507,33.66,-0.13,2036
49,2023-01-10,Solana,SOL,18829.46,19893.28,18103.05,18947.05,13248579479,26930881870.531044,257570,19.45,-0.75,614
50,2023-01-10,Binance Coin,BNB,25540.67,26633.65,25281.75,25672.04,22832237147,38670989146.08901,341564,35.31,-0.83,1920
51,2023-01-11,Bitcoin,BTC,3326.37,3424.04,3194.28,3246.21,46501523148,89830369334.4477,68969,40.28,-0.32,1356
52,2023-01-11,Ethereum,ETH,6184.6,6377.81,5845.02,5976.79,16400885420,36596561658.72695,237373,26.26,0.22,3600
53,2023-01-11,Cardano,ADA,23400.33,24124.77,22127.0,22443.73,34421963861,62903322259.66364,151198,31.96,-0.84,3908
54,2023-01-11,Solana,SOL,17934.33,18454.59,17363.29,18134.39,34570720127,55132315947.33044,119883,44.4,-0.46,1572
55,2023-01-11,Binance Coin,BNB,40742.2,41460.65,37555.37,39325.76,13738487950,30468680363.983387,193657,30.87,-0.62,2251
56,2023-01-12,Bitcoin,BTC,6068.62,6541.27,5855.69,6235.06,31392646781,59914342473.76705,145322,28.11,-0.74,3355
57,2023-01-12,Ethereum,ETH,12711.3,13028.15,11950.38,12101.75,32354880044,65693259382.88315,65785,4.17,-0.14,3882
58,2023-01-12,Cardano,ADA,33653.47,34871.36,32446.03,34267.19,19489161729,33926847133.75412,281004,40.22,-0.74,4803
59,2023-01-12,Solana,SOL,26823.01,28220.55,26266.15,27431.13,45220560716,88097095384.15347,475744,25.82,-0.2,752
60,2023-01-12,Binance Coin,BNB,36341.06,39077.26,34930.17,38048.91,37081113144,73944668625.27336,43708,5.66,-0.9,3207
61,2023-01-13,Bitcoin,BTC,16916.39,17169.47,16095.92,16387.39,2237763197,3675123160.9189115,239328,39.98,0.3,2204
62,2023-01-13,Ethereum,ETH,27171.41,28519.54,25542.37,26429.8,39649463165,67344415778.28109,428168,21.12,-0.73,919
63,2023-01-13,Cardano,ADA,44641.98,47171.33,43546.93,46252.13,39276692976,85327664589.3802,177119,10.39,-0.7,778
64,2023-01-13,Solana,SOL,28151.89,28920.83,26485.62,26802.1,33483555938,69070809648.40872,353398,37.31,0.91,3655
65,2023-01-13,Binance Coin,BNB,13197.01,13717.25,12569.86,12868.78,19244764124,47903460186.091515,474842,28.26,0.72,3880
66,2023-01-14,Bitcoin,BTC,3326.05,3425.83,3219.69,3272.8,22603767137,52247951948.021065,163905,28.3,0.66,4574
67,2023-01-14,Ethereum,ETH,43151.38,44587.36,41723.77,42991.24,42632378724,85144740428.82643,48039,19.36,-0.07,4199
68,2023-01-14,Cardano,ADA,42987.79,46020.41,42330.23,44166.33,37529803800,67706551002.116684,143069,28.64,0.43,3845
69,2023-01-14,Solana,SOL,2272.14,2398.8,2232.95,2318.92,2218505774,3540573830.740632,319067,38.98,0.8,3230
70,2023-01-14,Binance Coin,BNB,17865.15,18483.91,17313.11,17964.63,10787762923,20736340676.534786,475982,14.07,-0.8,3512
71,2023-01-15,Bitcoin,BTC,6142.51,6308.5,5672.23,5889.73,49344123389,81468989605.43819,14983,5.05,0.41,1647
72,2023-01-15,Ethereum,ETH,22403.79,24491.57,22178.38,23493.16,45239046335,107331032157.81767,268806,44.78,-0.14,3058
73,2023-01-15,Cardano,ADA,49555.92,51523.86,47438.06,50614.63,44826290876,82063721085.42113,233207,12.11,0.98,197
74,2023-01-15,Solana,SOL,26114.66,26939.19,24095.03,25315.43,13287592823,32597241299.17008,370447,20.61,0.35,1994
75,2023-01-15,Binance Coin,BNB,20893.77,21411.29,20222.68,20533.74,30245783905,45938731578.88854,450083,0.74,0.37,2309
76,2023-01-16,Bitcoin,BTC,31893.2,33555.61,31210.23,32630.27,24347667207,44317100938.861206,473131,18.99,0.94,2020
77,2023-01-16,Ethereum,ETH,49292.98,51324.39,47519.92,48038.86,23852683737,53708383622.64661,493316,32.6,-0.06,115
78,2023-01-16,Cardano,ADA,30716.18,31729.68,29723.7,30450.97,9031344428,20931188156.116398,40507,37.16,-0.33,1014
79,2023-01-16,Solana,SOL,24681.35,25259.57,23548.42,23975.19,27674990287,67134611719.32259,141721,15.57,-0.14,4635
80,2023-01-16,Binance Coin,BNB,25003.35,27217.84,24151.16,26052.8,1246875640,2368117995.2591047,406967,44.54,-0.07,4172
81,2023-01-17,Bitcoin,BTC,28819.89,31100.3,27477.11,30232.81,27394661898,51623761780.836105,254411,2.49,-0.23,1089
82,2023-01-17,Ethereum,ETH,30857.77,32335.52,29989.71,31579.25,46802368487,93819691564.32268,446619,47.55,0.98,1462
83,2023-01-17,Cardano,ADA,38107.55,40701.95,37448.96,39526.8,22694820526,47880832160.610916,171482,29.24,-0.93,1220
84,2023-01-17,Solana,SOL,37306.04,38189.52,36501.76,37354.53,11315127976,17791750902.66118,167380,4.17,-0.22,4082
85,2023-01-17,Binance Coin,BNB,24039.63,24627.64,22605.53,23617.98,10950461051,17878132018.052727,453342,42.22,0.03,3583
86,2023-01-18,Bitcoin,BTC,14413.26,14970.91,13418.41,14054.65,25525104179,60902746833.78147,494236,18.82,0.9,231
87,2023-01-18,Ethereum,ETH,33769.63,34955.0,30979.55,32256.89,25500439171,46563725794.84523,45194,31.92,-0.76,3069
88,2023-01-18,Cardano,ADA,5809.47,6092.11,5628.08,5885.43,37454975659,77117009309.94223,167434,34.08,0.63,3063
89,2023-01-18,Solana,SOL,31860.03,33418.4,29945.41,31169.85,3142389316,5775527988.53235,143224,5.73,0.36,3593
90,2023-01-18,Binance Coin,BNB,45994.81,47686.17,44704.15,47192.99,29194460467,52653644791.27268,364238,4.27,-0.47,2794
91,2023-01-19,Bitcoin,BTC,48538.86,50500.9,47221.91,48194.27,26873589745,44332578962.6392,482713,10.32,-0.93,3527
92,2023-01-19,Ethereum,ETH,18756.68,19965.7,18263.51,19117.93,3234479001,8039819407.206106,70620,37.72,0.19,803
93,2023-01-19,Cardano,ADA,2045.04,2091.05,2020.57,2042.47,28928487805,53157325952.53067,424100,23.42,0.42,1505
94,2023-01-19,Solana,SOL,41255.13,43304.21,40279.42,41051.25,48779726920,89004837101.50375,28442,19.91,0.82,4560
95,2023-01-19,Binance Coin,BNB,34911.17,35279.88,33253.37,34043.58,38875817055,94736589299.09164,88437,49.06,0.37,3776
96,2023-01-20,Bitcoin,BTC,11282.44,11552.76,10561.31,10791.2,3057400832,5069180287.045874,262262,2.71,-0.3,2127
97,2023-01-20,Ethereum,ETH,46619.66,48885.17,44446.01,47072.0,39566116585,94941316778.459,375633,45.8,0.58,3354
98,2023-01-20,Cardano,ADA,23451.78,24772.48,22750.99,24301.51,28737138835,67234559278.53859,288621,30.79,-0.3,244
99,2023-01-20,Solana,SOL,48384.98,50406.74,45801.32,46324.24,18242087313,29329787494.784412,111699,46.01,-0.12,3381
100,2023-01-20,Binance Coin,BNB,34999.78,37084.26,34534.09,36387.38,30618161754,48091968503.181854,190177,14.29,-0.03,2989
101,2023-01-21,Bitcoin,BTC,24530.43,26476.04,24125.19,25340.92,33729946796,62131128919.74662,323057,43.27,-0.9,1204
102,2023-01-21,Ethereum,ETH,9395.61,9574.77,8580.86,8977.0,35731235373,78097185685.46329,97012,42.63,0.84,4753
103,2023-01-21,Cardano,ADA,5860.99,6121.93,5742.42,5965.77,1783357375,3825321720.4682674,383083,12.31,0.3,3072
104,2023-01-21,Solana,SOL,18217.7,18835.5,17172.17,18059.7,24615619630,52874717155.81701,23797,9.52,-0.32,2193
105,2023-01-21,Binance Coin,BNB,22158.59,22703.81,21211.87,21717.64,1121845655,1805326903.9413128,412375,41.48,0.54,3535
106,2023-01-22,Bitcoin,BTC,2522.22,2628.61,2406.62,2594.68,48972654522,105786954163.86507,107690,3.6,-0.65,2390
107,2023-01-22,Ethereum,ETH,10170.63,10964.94,9707.81,10604.38,33617760914,75835647618.412,212319,18.88,-0.07,1036
108,2023-01-22,Cardano,ADA,18869.51,19240.9,17104.44,17973.15,23704771384,36660145776.98281,52313,22.96,-0.31,1972
109,2023-01-22,Solana,SOL,41941.04,44076.62,40611.67,43156.8,4220506864,8592382951.419262,39164,35.02,-0.41,2108
110,2023-01-22,Binance Coin,BNB,33017.31,35212.33,31811.55,34483.24,28117128944,51495111158.74516,299544,33.63,-0.4,1449
111,2023-01-23,Bitcoin,BTC,19237.4,19888.45,17717.86,18331.61,31584489564,48427414842.11407,469970,31.33,0.31,915
112,2023-01-23,Ethereum,ETH,21322.22,21688.57,19753.3,20576.46,22451658906,51275136336.28981,462907,33.68,-0.4,4364
113,2023-01-23,Cardano,ADA,35204.72,35740.19,32962.71,34647.73,1914070220,3225800131.573912,307643,38.36,0.93,917
114,2023-01-23,Solana,SOL,15321.05,15990.32,14410.49,14742.9,41986919505,84999027074.82448,208294,17.49,0.19,3630
115,2023-01-23,Binance Coin,BNB,7300.07,7471.14,6938.53,7240.11,11564906912,17606298959.245777,125740,0.52,0.19,3547
116,2023-01-24,Bitcoin,BTC,8664.01,9188.71,8339.7,8788.68,18642353919,38192789032.89961,100699,3.1,-0.7,1899
117,2023-01-24,Ethereum,ETH,8205.07,8472.47,7630.73,8006.36,13168057027,21984254360.06628,355699,43.61,-0.44,902
118,2023-01-24,Cardano,ADA,46294.93,47501.76,43375.55,45136.7,28917108698,48856725552.75461,197850,11.68,0.81,3356
119,2023-01-24,Solana,SOL,13786.56,14107.0,12568.91,13133.61,40248701661,83273313563.08655,37690,5.74,0.57,4458
120,2023-01-24,Binance Coin,BNB,41250.51,43078.12,39605.18,41226.18,36193124693,86494192080.45235,401536,24.74,0.86,1085
121,2023-01-25,Bitcoin,BTC,4984.54,5397.26,4787.45,5214.09,9283795920,15129049257.674463,62317,6.16,-0.21,1713
122,2023-01-25,Ethereum,ETH,34305.48,36017.41,31442.48,32614.41,4957962460,9541326941.239384,43144,20.69,0.71,1496
123,2023-01-25,Cardano,ADA,10638.21,11128.99,10366.52,10521.76,46552875066,104399926358.36165,110328,42.94,0.95,4885
124,2023-01-25,Solana,SOL,17206.9,17545.74,16917.77,17371.35,47851050065,82978341253.7246,325733,12.53,-0.71,1313
125,2023-01-25,Binance Coin,BNB,12521.67,12888.36,12115.51,12358.36,48368276294,117294525259.41324,255377,10.01,0.58,3729
126,2023-01-26,Bitcoin,BTC,30304.92,32295.77,29647.6,31768.94,11829049863,19258851694.268894,284796,40.13,0.08,2730
127,2023-01-26,Ethereum,ETH,42712.47,44647.76,40771.62,42504.95,28809509452,62205137985.0215,453746,26.44,-0.06,2257
128,2023-01-26,Cardano,ADA,30732.61,31206.6,29004.77,29336.26,47358075565,86386216705.80357,382945,28.11,-0.28,2048
129,2023-01-26,Solana,SOL,34471.25,36227.32,33335.34,35411.38,38554606935,62038522258.97835,364045,42.64,-0.74,3030
130,2023-01-26,Binance Coin,BNB,48469.42,50152.63,47847.71,49099.33,13470324551,20436797888.18285,306890,12.33,-0.51,2541
131,2023-01-27,Bitcoin,BTC,43716.67,45529.21,42145.9,43838.44,9718426582,20738773710.317616,383407,3.25,-0.69,125
132,2023-01-27,Ethereum,ETH,11312.74,11460.19,10539.98,10895.21,18147970747,39885728415.01482,424759,27.78,-0.59,290
133,2023-01-27,Cardano,ADA,13077.23,13231.38,12000.78,12555.32,30242693771,45662029959.93617,190267,10.35,0.71,4534
134,2023-01-27,Solana,SOL,480.63,499.09,471.69,485.23,15343880469,31830759871.748207,423277,46.72,0.1,3100
135,2023-01-27,Binance Coin,BNB,9519.75,9809.66,8936.39,9184.16,11781859232,26774976398.978943,355194,11.13,-0.4,3366
136,2023-01-28,Bitcoin,BTC,35114.25,37966.3,34539.11,36384.12,43689833856,75366607629.6816,285703,17.64,-0.36,3786
137,2023-01-28,Ethereum,ETH,3405.49,3699.58,3320.67,3562.49,3877751097,7663693108.428412,76072,25.78,0.95,688
138,2023-01-28,Cardano,ADA,14177.7,15152.66,13782.56,14695.24,43077416532,67108192988.38464,453898,20.65,0.87,3915
139,2023-01-28,Solana,SOL,27001.64,27565.45,26649.57,26979.81,29654431540,45819987179.701546,439736,13.33,0.91,2013
140,2023-01-28,Binance Coin,BNB,23583.26,24611.42,22837.06,24011.91,2102396495,5076959794.610862,326375,26.41,-0.17,786
141,2023-01-29,Bitcoin,BTC,46771.57,48247.09,45766.08,46250.81,11143088828,19494648080.821735,243334,7.83,0.52,2078
142,2023-01-29,Ethereum,ETH,6464.38,6895.5,6382.81,6657.48,48534921392,88289570575.99359,256738,3.56,0.11,674
